20 Microns Ltd.	20MICRONS
Navneet Publication (India) Ltd.	NAVNETPUBL
NCC Ltd.	NCC
NCL Industries Ltd.	NCLIND
Nectar Lifesciences Ltd	NECLIFE
Neha International Ltd.	NEHAINT
Nelcast Ltd.	NELCAST
Nelco Ltd.	NELCO
Neo Corp International Ltd.	NEOCORPBE
NEPC India Ltd.	NEPCMICONBE
NEPC Textiles Ltd.	NEPCTEXBE
Nesco Ltd.	NESCO
Nestle India Ltd.	NESTLEIND
Net 4 India Ltd.	NET4
Netflier Finco Ltd.[Merged]	NETFINCO
Netvista Information Technology Ltd.	NETVISTAIT
Network 18 Media & Investments Ltd.	NETWORK18
Network Ltd.	NETWORKBE
Neuland Laboratories Ltd.	NEULANDLABBE
New Delhi Television Ltd.	NDTVBE
Next Mediaworks Ltd.	NEXTMEDIA
Neyveli Lignite Corporation Ltd.	NEYVELILIG
NHPC Ltd.	NHPC
Nicco Corporation Ltd.	NICCO
NIIT Ltd.	NIITLTD
NIIT Technologies Ltd.	NIITTECH
Nilkamal Ltd.	NILKAMAL
Nippo Batteries Company Ltd.	NIPPOBATRY
Nirlon Ltd.	NIRLON
Nirma Ltd.	NIRMA
Nissan Copper Ltd.	NCOPPERBE
Nitco Ltd.	NITCO
Nitesh Estates Ltd.	NITESHEST
Nitin Fire Protection Industries Ltd.	NITINFIRE
Nitin Spinners Ltd.	NITINSPIN
Nitta Gelatin India Ltd.	KERALACHEM
Niyati Industries Ltd.	NIYATILEASBE
NLC Nalco India Ltd.	NALCOCHEMBE
NMDC Ltd.	NMDC
NOCIL Ltd.	NOCIL
Noida Toll Bridge Company Ltd.	NOIDATOLL
Norben Tea & Exports Ltd.	NORBTEAEXP
Nova Iron & Steel Ltd.	NOVAIRNSTLBE
Novartis India Ltd.	NOVARTIND
Novopan Industries Ltd.	NOVOPANINDBE
NRB Bearings Ltd.	NRBBEARING
NRC Ltd.	NRC
NTPC Ltd.	NTPC
Nu Tek India Ltd.	NUTEK
Nucent Estates Ltd.	NUCENTBE
Nuchem Ltd.	NUCHEMBE
Nucleus Software Exports Ltd.	NUCLEUS
Oberoi Realty Ltd.	OBEROIRLTY
OCL India Ltd.	OCL
OCL Iron & Steel Ltd.	OISL
Octav Investments Ltd.[Amalgamated]	OCTAV
Oil And Natural Gas Corporation Ltd.	ONGC
Oil Country Tubular Ltd.	OILCOUNTUB
Oil India Ltd.	OIL
OM Metals Infraprojects Ltd.	OMMETALS
Omax Autos Ltd.	OMAXAUTO
Omaxe Ltd.	OMAXE
Omkar Speciality Chemicals Ltd.	OMKARCHEM
Omnitech InfoSolutions Ltd.	OMNITECH
Onelife Capital Advisors Ltd.	ONELIFECAP
Onida Savak Ltd.	ONIDASAVAKBE
OnMobile Global Ltd.	ONMOBILE
Onward Technologies Ltd.	ONWARDTEC
Optel Telecommunications Ltd.	OPTELCOMMBE
Opto Circuits India Ltd.	OPTOCIRCUI
Oracle Financial Services Software Ltd.	OFSS
Orbit Corporation Ltd.	ORBITCORP
Orchid Chemicals & Pharmaceuticals Ltd.	ORCHIDCHEM
Org Informatics Ltd.	ORGINFO
Organon (India) Ltd.	INFARINDIA
Oricon Enterprises Ltd.	ORIENTCONT
Orient Abrasives Ltd.	ORIENTABRA
Orient Bell Ltd.	ORIENTBELL
Orient Green Power Company Ltd.	GREENPOWER
Orient Information Technology Ltd.[Merged]	ORIENTINFO
Orient Paper & Industries Ltd.	ORIENTPPR
Orient Press Ltd.	ORIENTLTD
Orient Refractories Ltd.	ORIENTREF
Oriental Bank of Commerce	ORIENTBANK
Oriental Carbon & Chemicals Ltd.	ORIENTCARBBE
Company	Code
Oriental Hotels Ltd.	ORIENTHOT
Oriental Trimex Ltd.	ORIENTALTL
Orissa Minerals Development Company Ltd.	ORISSAMINE
Oswal Agro Mills Ltd.	OSWALAGROBE
Oswal Green Tech Ltd.	BINDALAGRO
Oswal Minerals Ltd.	OSWALMIN
Oswal Spinning & Weaving Mills Ltd.	OSWALSPGBE
Oudh Sugar Mills Ltd.	OUDHSUG
Oxides & Specialities Ltd.	HERDIOXIDEBE
Pacific Industries Ltd.	PACIFICINDBE
Padmalaya Telefilms Ltd.	PADMALAYATBE
PAE Ltd.	PAEL
Page Industries Ltd.	PAGEIND
Pal Credit & Capital Ltd.	PALCREDITBE
Pan India Corporation Ltd.	SRGINFOTEC
Pan India Corporation Ltd.	SRG
Panacea Biotec Ltd.	PANACEABIO
Panama Petrochem Ltd.	PANAMAPET
Panasonic Appliances India Company Ltd.	PANASONIC
Panasonic AVC Networks India Co. Ltd.	PAVCI
Panasonic Carbon India Co. Ltd.	PANCARBON
Panasonic Energy India Company Ltd.	LAKHNNATNL
Panchmahal Cement Ltd.	PANCHMACEMBE
Panchmahal Steel Ltd.	PANCHMSTELBE
Panchsheel Organics Ltd.	PANCHSHEEL
Panoramic Universal Ltd.	PANORAMUNI
Pantaloon Retail (India) Ltd.	PANTALOONR
Panyam Cements & Mineral Industries Ltd.	PANYAMCEMBE
Paper Products Ltd.	PAPERPROD
Parabolic Drugs Ltd.	PARABDRUGS
Paramount Communications Ltd.	PARACABLESBE
Paramount Printpackaging Ltd.	PARAPRINT
Paras Petrofils Ltd.	PARASPETROBE
Parasrampuria Industries Ltd.	PARASINDBE
Parekh Aluminex Ltd.	PARAL
Parekh Platinum Ltd.	PAREKHPLATBE
Parenteral Drugs (India) Ltd.	PDPLBE
Parrys Sugar Industries Ltd.	PARRYSUGAR
Parsvnath Developers Ltd.	PARSVNATH
Pasupati Acrylon Ltd.	PASUPTACRYBE
Pasupati Fabrics Ltd.	PASUPATI
Patel Engineering Ltd.	PATELENG
Patel Integrated Logistics Ltd.	PATINTLOG
Patheja Forgings & Auto Parts Manufacturers Ltd.	PATHEJAFORBE
Patni Computer Systems Ltd.	PATNI
Patspin India Ltd.	PATSPINLTD
PBA Infrastructure Ltd.	PBAINFRA
Peacock Industries Ltd.	PEACOCKIND
Pearl Engineering Polymers Ltd.	PEPLBE
Pearl Global Industries Ltd.	PGILBE
Pearl Global Ltd.	PEARLGLOBL
Pearl Polymers Ltd.	PEARLPOLY
Peninsula Land Ltd.	PENINLAND
Pennar Aluminium Company Ltd.	PENNARALUMBE
Pennar Industries Ltd.	PENIND
Pentamedia Graphics Ltd.	PENTSFWARE
Pentasoft Technologies Ltd.[Amalgamated]	PENTACOMMU
Peria Karamalai Tea & Produce Company Ltd.	PERIATEA
Permanent Magnets Ltd.	PERMAGNETBE
Persistent Systems Ltd.	PERSISTENT
Pertech Computers Ltd.	PCLBE
Petron Engineering Construction Ltd.	PETRONENGG
Petronet LNG Ltd.	PETRONET
Pfizer Ltd.	PFIZER
PG Electroplast Ltd.	PGEL
Phil Corporation Ltd.	PHILCORPBE
Phillips Carbon Black Ltd.	PHILIPCARB
Phoenix International Ltd.	PHOENXINTL
Phoenix Mills Ltd.	PHOENIXLTD
PI Industries Ltd.	PIIND
Piccadily Sugar and Allied Industries Ltd.	PICCADSUGBE
Pidilite Industries Ltd.	PIDILITIND
Pilani Investment and Industries Corporation Ltd.	PILANIINVBE
Pioneer Distilleries Ltd.	PIONDISTBE
Pioneer Embroideries Ltd.	PIONEEREMBBE
Pipavav Defence & Offshore Engineering Company Ltd.	PIPAVAVDOC
Piramal Enterprises Ltd.	PEL
Piramal Glass Ltd.	PIRGLASS
Piramal Life Sciences Ltd.	PIRLIFEBE
Pitti Laminations Ltd.	PITTILAM
Plastiblends India Ltd.	PLASTIBLEN
Plethico Pharmaceuticals Ltd.	PLETHICO
PNB Gilts Ltd.	PNBGILTS
Pochiraju Industries Ltd.	POCHIRAJU
Poddar Pigments Ltd.	PODARPIGMTBE
Polar Industries Ltd.	POLARIND
Polaris Financial Technology Ltd.	POLARIS
Poly Medicure Ltd.	POLYMED
Polychem Ltd.	POLYCHEM
Polyplex Corporation Ltd.	POLYPLEX
Pondy Oxides & Chemicals Ltd.	PONDYOXIDE
Ponni Sugars (Erode) Ltd.	PONNIERODE
Power Finance Corporation Ltd.	PFC
Power Grid Corporation of India Ltd.	POWERGRID
Pradip Overseas Ltd.	PRADIP
Prag Bosimi Synthetics Ltd.	PRAGBOSIMIBE
Praj Industries Ltd.	PRAJIND
Prajay Engineers Syndicate Ltd.	PRAENGBE
Prakash Constrowell Ltd.	PRAKASHCONBE
Prakash Industries Ltd.	PRAKASH
Prakash Steelage Ltd.	PRAKASHSTL
Company	Code
Pratibha Industries Ltd.	PRATIBHA
Precision Pipes & Profiles Company Ltd.	PPAP
Precision Wires India Ltd.	PRECWIRE
Precot Meridian Ltd.	PRECOTBE
Premier Ltd.	PREMIER
Premier Polyfilm Ltd.	PREMIERPOL
Prestige Estates Projects Ltd.	PRESTIGE
Pricol Ltd.	PRICOL
Prime Focus Ltd.	PFOCUS
Prime Securities Ltd.	PRIMESECU
Prism Cement Ltd.	PRISMCEM
Prithvi Information Solutions Ltd.	PRITHVIBE
Prithvi Softech Ltd.	PRITHVISOF
Pritish Nandy Communications Ltd.	PNCBE
Priya Ltd.	PRIYADYESBE
Priyadarsini Ltd.	PSMSPGMILLBE
Procter & Gamble Hygiene & Healthcare Ltd.	PGHH
Provogue (India) Ltd	PROVOGE
Prozone Capital Shopping Centres Ltd.	PROZONECSC
PSL Ltd.	PSL
PTC India Financial Services Ltd.	PFS
PTC India Ltd.	PTC
PTL Enterprises Ltd.	PTL
Pudumjee Industries Ltd.	PDUMJEIND
Pudumjee Pulp & Paper Mills Ltd.	PDUMJEPULP
Punj Lloyd Ltd.	PUNJLLOYD
Punjab & Sind Bank	PSB
Punjab Alkalies & Chemicals Ltd.	PUNALKALIBE
Punjab Chemicals and Crop Protection Ltd.	PUNJABCHEM
Punjab Communications Ltd.	PUNJCOMMU
Punjab National Bank	PNB
Punjab Tractors Ltd. (Merged)	PUNJABTRAC
Punjab Woolcombers Ltd.	PUNJABWOOLBE
Puravankara Projects Ltd.	PURVA
PVP Ventures Ltd.	PVP
PVR Ltd.	PVR
Pyramid Saimira Theatre Ltd.	PSTL
Quintegra Solutions Ltd.	QUINTEGRA
R Systems International Ltd.	RSYSTEMS
Radaan Mediaworks (I) Ltd.	RADAAN
Radha Madhav Corporation Ltd.	RMCL
Radico Khaitan Ltd.	RADICO
Rai Saheb Rekhchand Mohota Spg. & Wvg. Mills Ltd.	RAIREKMOHBE
Rain Calcining Ltd.	RAINCALCIN
Rain Commodities Ltd.	RAINCOM
Rainbow Papers Ltd.	RAINBOWPAP
Raj Oil Mills Ltd.	RAJOIL
Raj Rayon Industries Ltd.	RAJRAYON
Raj Television Network Ltd.	RAJTV
Rajapalayam Mills Ltd.	RAJPALAYAM
Rajasthan Petro Synthetics Ltd.	RAJASPETRO
Rajdarshan Industries Ltd.	ARENTERPBE
Rajesh Exports Ltd.	RAJESHEXPO
Rajshree Sugars & Chemicals Ltd.	RAJSREESUG
Rajvir Industries Ltd.	RAJVIR
Rallis India Ltd.	RALLIS
Rama Newsprint and Papers Ltd.	RAMANEWS
Rama Petrochemicals Ltd.	RAMAPETROBE
Rama Phosphates Ltd.	RAMAPHOSPBE
Rama Vision Ltd.	RAMAVISIONBE
Ramco Industries Ltd.	RAMCOIND
Ramco Systems Ltd.	RAMCOSYS
Ramgopal Polytex Ltd.	RAMGOPOLYBE
Ramkrishna Forgings Ltd	RKFORGE
Ramky Infrastructure Ltd.	RAMKY
Ramsarup Industries Ltd.	RAMSARUP
Rana Sugars Ltd.	RANASUG
Ranbaxy Laboratories Ltd.	RANBAXY
Rane (Madras) Ltd	RML
Rane Brake Lining Ltd.	RBL
Rane Brake Linings Ltd.(Old)	RANEBRAKE
Rane Engine Valve Ltd.	RANEENGINE
Rane Engine Valves Ltd.(Old)	REVL
Rane Holdings Ltd.	RANEHOLDIN
Rank Industries Ltd.	RANKAQUABE
Ranklin Solutions Ltd.	RANKLIN
Ras Propack Lamipack Ltd.	RASLAMIPAK
Rashtriya Chemicals & Fertilizers Ltd.	RCF
Rasoya Proteins Ltd.	RASOYPR
Ratnamani Metals & Tubes Ltd.	RATNAMANI
Ravalgaon Sugar Farm Ltd.	RAVALSUGAR
Ravi Kumar Distilleries Ltd.	RKDLBE
RayBan Sun Optics India Ltd.	BAUSCHLOMB
Raymond Ltd.	RAYMOND
Recron Synthetics Ltd.	RAYMONDSYNBE
Redington (India) Ltd.	REDINGTON
Refex Refrigerants Ltd.	REFEX
Regency Ceramics Ltd.	REGENCERAM
REI Agro Ltd.	REIAGROLTD
REI Six Ten Retail Ltd.	REISIXTENBE
Relaxo Footwears Ltd.	RELAXO
Reliance Broadcast Network Ltd.	RBNBE
Reliance Capital Ltd.	RELCAPITAL
Reliance Capital Ventures Ltd.	RCAPVL
Reliance Communications Ltd.	RCOM
Reliance Energy Ventures Ltd.	RENVL
Reliance Industrial InfraStructure Ltd.	RIIL
Reliance Industries Ltd.	RELIANCE
Reliance Infrastructure Ltd.	RELINFRA
Company	Code
Reliance MediaWorks Ltd.	RELMEDIA
Reliance Natural Resources Ltd.	RNRL
Reliance Petroleum Ltd.(Merged)	RPL
Reliance Power Ltd.	RPOWER
Religare Enterprises Ltd.	RELIGARE
Remi Metals Gujarat Ltd.	REMIMETALBE
Remsons Industries Ltd.	REMSONSIND
Renaissance Jewellery Ltd.	RJL
Repro India Ltd.	REPRO
Responsive Industries Ltd.	RESPONIND
Resurgere Mines & Minerals India Ltd.	RMMIL
Revathi Equipment Ltd.	REVATHI
Rhodia Specialty Chemicals India Ltd.	ALBRMORARJ
Rico Auto Industries Ltd.	RICOAUTO
Rishi Techtex Ltd.	RISHIPACKBE
Rohit Ferro-Tech Ltd.	ROHITFERRO
Rollatainers Ltd.	ROLATANBE
Rolta India Ltd.	ROLTA
Rossell India Ltd.	ROSSELLIND
Royal Cushion Vinyl Products Ltd.	ROYALCUSHNBE
Royal Orchid Hotels Ltd.	ROHLTD
RPG Cables Ltd.[Merged]	RPGCABLES
RPG Life Sciences Ltd.	RPGLIFE
RPG Transmission Ltd.[Merged]	RPGTLTD
RPP Infra Projects Ltd.	RPPINFRA
RS Software (India) Ltd.	RSSOFTWARE
RSWM Ltd.	RSWM
Rubfila International Ltd.	RUBFILINTLBE
Ruby Mills Ltd.	RUBYMILLS
Ruchi Infrastructure Ltd.	RUCHINFRA
Ruchi Soya Industries Ltd.	RUCHISOYA
Ruchi Strips & Alloys Ltd.	RUCHISTRIPBE
Ruchira Papers Ltd.	RUCHIRA
Rupa & Company Ltd.	RUPA
Rural Electrification Corporation Ltd.	RECLTD
Rushil Decor Ltd.	RUSHIL
S Kumars Nationwide Ltd.	SKUMARSYNF
S Mobility Ltd.	SMOBILITY
S&S Industries & Enterprises Ltd.	SandSINDBE
S. E. Investments Ltd.	SEINV
S. E. Power Ltd.	SEPOWER
Sabero Organics Gujarat Ltd.	SABERORGAN
Sadbhav Engineering Ltd.	SADBHAV
Sagar Cements Ltd.	SAGCEM
Sah Petroleums Ltd.	SAHPETRO
Sai Service Station Ltd.	SAISERVICEBE
Saksoft Ltd.	SAKSOFT
Sakthi Finance Ltd.	SAKTHIFINBE
Sakthi Sugars Ltd.	SAKHTISUG
Sakuma Exports Ltd.	SAKUMA
SAL Steel Ltd.	SALSTEEL
Salona Cotspin Ltd.	SALONACOT
Salora International Ltd.	SALORAINTL
Sam Industries Ltd.	SAMINDUS
Sambandam Spinning Mills Ltd.	SAMBANDAM
Sambhaav Media Ltd.	SAMBHAAVBE
Samruddhi Cement Ltd.[Merged]	SAMRUDDHI
Samtel Color Ltd.	SAMTELBE
Samtel India Ltd.	SAMTELTDBE
Sandesh Ltd.	SANDESH
Sangam (India) Ltd.	SANGAMIND
Sanghi Industries Ltd.	SANGHIIND
Sanghi Polyesters Ltd.	SANGHIPOLY
Sanghvi Forging & Engineering Ltd.	SANGHVIFOR
Sanghvi Movers Ltd.	SANGHVIMOV
Sanofi India Ltd.	SANOFI
Sanwaria Agro Oils Ltd.	SANWARIA
Sarda Energy & Minerals Ltd.	SARDAEN
Saregama India Ltd.	SAREGAMA
Sarla Performance Fibers Ltd.	SARLAPOLY
Sarthak Industries Ltd.	SARTHAKIND
Sasken Communication Technologies Ltd.	SASKEN
Sathavahana Ispat Ltd.	SATHAISPAT
Satyam Computer Services Ltd.	SATYAMCOMP
Saurashtra Cements Ltd.	SAURASHCEMBE
Saurashtra Paper & Board Mills Ltd.	SAURASTPPRBE
Savera Industries Ltd.	SAVERA
Savita Oil Technologies Ltd.	SOTL
Sayaji Hotels Ltd.	SAYAJIHOTLBE
SB&T International Ltd.	SBandTINTL
Schneider Electric Infrastructure Ltd.	SCHNEIDER
Scintilla Software Technology Ltd.	SCINTSOFT
Seamec Ltd.	SEAMECLTD
SEL Manufacturing Company Ltd.	SELMCL
Selan Exploration Technology Ltd.	SELAN
Serene Industries Ltd.	SERENDYSTFBE
Servalakshmi Paper Ltd.	SERVALL
Sesa Goa Ltd.	SESAGOA
Seshasayee Paper & Boards Ltd.	SESHAPAPER
Seya Industries Ltd.	SRIMANORGBE
Sezal Glass Ltd.	SEZAL
Shaan Interwell (India) Ltd.	SHAANINTERBE
Shah Alloys Ltd.	SHAHALLOYS
Shakti Pumps (India) Ltd.	SHAKTIPUMP
Shalimar Paints Ltd.	SHALPAINTS
Shamken Multifab Ltd.	SHAMKNFAB
Shamken Spinners Ltd.	SHAMKNSPIN
Shanthi Gears Ltd.	SHANTIGEAR
Shardul Securities Ltd.	SHRIYAMSEC
Sharon Bio-Medicine Ltd.	SHARONBIO
Sharp India Ltd.	KALYANISHP
Company	Code
Sharyans Resources Ltd.	SHARRESLTD
Shasun Pharmaceuticals Ltd.	SHASUNPHAR
Shaw Wallace & Company Ltd. (Merged)	SHAWALLACEBE
Shekhawati Poly Yarn Ltd.	SPYL
Shetron Ltd.	SHETRONBE
Shilpa Medicare Ltd.	SHILPAMED
Shilpi Cable Technologies Ltd.	SHILPI
Shipping Corporation of India Ltd.	SCI
Shirpur Gold Refinery Ltd.	AGEEGOLD
Shiv-Vani Oil & Gas Exploration Services Ltd.	SHIV-VANI
Shiva Texyarn Ltd.	SHIVTEXBE
Shivam Autotech Ltd.	SHIVAMAUTO
Shoppers Stop Ltd.	SHOPERSTOP
Shree Ashtavinayak Cine Vision Ltd.	SHREEASHTA
Shree Cements Ltd.	SHREECEM
Shree Digvijay Cement Company Ltd.	SHREDIGCEMBE
Shree Ganesh Forgings Ltd.	SGFL
Shree Ganesh Jewellery House Ltd.	SGJHL
Shree Precoated Steels Ltd.	SHPRE
Shree Rajasthan Syntex Ltd.	SHRERAJSYNBE
Shree Rama Multi-Tech Ltd.	SHREERAMA
Shree Renuka Sugars Ltd.	RENUKA
Shreeji Phosphate Ltd.	SATYAMCEMBE
Shrenuj & Company Ltd.	SHRENUJ
Shreyans Industries Ltd.	SHREYANIND
Shreyas Shipping & Logistics Ltd.	SHREYAS
Shri Dinesh Mills Ltd.	SHRIDINESHBE
Shri Lakshmi Cotsyn Ltd.	SHLAKSHMI
Shri Matre Power & Infrastructure Ltd.	SHAKTIGAS
Shri Nataraj Ceramic & Chemical Industries Ltd.	SHRINATRAJ
Shri Ramrupai Balaji Steels Ltd.[Merged]	BALASTEELSBE
Shriram City Union Finance Ltd.	SHRIRAMCIT
Shriram EPC Ltd.	SHRIRAMEPC
Shriram Transport Finance Company Ltd.	SRTRANSFIN
Shristi Infrastructure Development Corporation Ltd.	PEERABASANBE
Shukra Jewellery Ltd.	SHUKRADIAMBE
Shyam Telecom Ltd.	SHYAMTEL
SI Group - India Ltd.	SIGROUPIND
Sicagen India Ltd.	SICAGEN
Sical Logistics Ltd.	SICAL
Siddhartha Tubes Ltd.	SIDDHATUBEBE
Siemens Ltd.	SIEMENS
Signet Industries Ltd.	SIGNETINDBE
SIL Business Enterprises Ltd.	SNOWCEMIND
SIL Investments Ltd.	SILINV
Silicon Valley Infotech Ltd.	PRASGLOFINBE
Silverline Technologies Ltd.	SILVERLINE
Simbhaoli Sugars Ltd.	SIMBHSUGAR
Simplex Castings Ltd.	SIMPLEXCAS
Simplex Infrastructures Ltd.	SIMPLEXINF
Simplex Projects Ltd.	SIMPLEX
Singer India Ltd.	SINGERBE
Sintex Industries Ltd.	SINTEX
Siris Ltd.	SIRISBE
Sirpur Paper Mills Ltd.	SIRPAPERBE
Sita Shree Food Products Ltd.	SITASHREE
SITI Cable Network Ltd.	SITICABLEBE
Siyaram Silk Mills Ltd.	SIYSIL
SJVN Ltd.	SJVN
SKF India Ltd.	SKFINDIA
SKM Egg Products Export (India) Ltd.	SKMEGGPROD
SKS Microfinance Ltd.	SKSMICROBE
Skyline NEPC Ltd.	DAMANIAAIRBE
SM Dyechem Ltd.	SMDYECHEM
Smartlink Network Systems Ltd.	SMARTLINK
SML Isuzu Ltd.	SMLISUZU
SMS Pharmaceuticals Ltd.	SMSPHARMABE
SMZS Chemicals Ltd.	SMZSCHEM
SNS Textiles Ltd.	SUZLONFIBRBE
Sobha Developers Ltd.	SOBHA
Software Technology Group International Ltd.	SOFTTECHGR
SOL Pharmaceuticals Ltd.	SOLPHARMABE
Solar Industries India Ltd.	SOLARINDS
Solectron EMS India Ltd.[Amalgamated]	SOLEMS
Som Datt Finance Corporation Ltd.	SOMDUTTFINBE
Soma Textiles & Industries Ltd.	SOMATEX
Somani Cement Company Ltd.	SOMANICEMBE
Somany Ceramics Ltd.	SOMANYCERA
Sona Koyo Steering Systems Ltd.	SONASTEER
Sonata Software Ltd.	SONATSOFTWBE
South Asian Petrochem Ltd.[Merged]	SAPL
South India Paper Mills Ltd.	SIPAPERBE
South Indian Bank Ltd.	SOUTHBANK
Southern Ispat & Energy Ltd.	SOUISPAT
Southern Petrochemicals Industries Corporation Ltd	SPIC
Spanco Ltd.	SPANCO
Spartek Ceramics India Ltd.	SPARTEKBE
Speciality Restaurants Ltd.	SPECIALITY
Spectacle Infotek Ltd.	SPECTACLE
SPEL Semiconductor Ltd.	SPICELEC
Spentex Industries Ltd.	SPENTEXBE
Spice Communications Ltd. [Merged]	SPICETELE
Spicejet Ltd.	MODILUFTBE
SPL Industries Ltd.	SPLIL
SPML Infra Ltd.	SPMLINFRA
Sree Rayalaseema Alkalies & Allied Chemicals Ltd.	SREERAYALKBE
Sree Rayalaseema Hi-Strength Hypo Ltd.	SRHHYPOLTD
SREI Infrastructure Finance Ltd.	SREINFRA
SRF Ltd.	SRF
Company	Code
SRHHL Industries Ltd.	SRHHLINDST
Sri Adhikari Brothers Television Network Ltd.	SABTN
Sri Chamundeswari Sugars Ltd.	SRICHAMUND
SRS Ltd.	SRSLTD
Standard Batteries Ltd.	STANDRDBATBE
Standard Industries Ltd.	SILBE
Star Paper Mills Ltd.	STARPAPER
State Bank Of Bikaner and Jaipur	SBBJ
State Bank of India	SBIN
State Bank Of Mysore	MYSOREBANK
State Bank of Travancore	SBT
State Trading Corporation Of India Ltd.	STCINDIA
Steel Authority of India (SAIL) Ltd.	SAIL
Steel Strips Wheels Ltd.	SSWL
Steel Tubes of India Ltd.	STEELTUBES
Steelco Gujarat Ltd.	STEELCOGUJBE
STEL Holdings Ltd.	STEL
Sterling Biotech Ltd.	STERLINBIO
Sterling Holiday Resorts (I) Ltd.	STERLINHOLBE
Sterling Tools Ltd.	STERTOOLS
Sterlite Industries (India) Ltd.	STER
Sterlite Technologies Ltd.	STRTECH
STI India Ltd.	STINDIA
STL Global Ltd.	SGL
Store One Retail India Ltd.	STOREONE
Strides Arcolab Ltd.	STAR
Styrolution ABS (India) Ltd.	STYABS
Suashish Diamonds Ltd.	SUASHDIMON
Suave Hotels Ltd.	THEBYKE
Subex Ltd.	SUBEXBE
Subros Ltd.	SUBROS
Sudar Industries Ltd.	SUDAR
Sudarshan Chemical Industries Ltd.	SUDARSCHEM
Suditi Industries Ltd.	SUDITINDBE
Sujana Metal Products Ltd.	SMPL
Sujana Towers Ltd.	SUJANATOW
Sujana Universal Industries Ltd.	SUJANAUNI
Sulzer India Ltd.	SULZER
Suman Motels Ltd.	SUMANMOTELBE
Sumeet Industries Ltd.	SUMEETINDS
Summit Securities Ltd.	SUMMITSEC
Summit Securities Ltd.(Old) [Amalgamated]	SUMMIT
Sun Pharma Advanced Research Company Ltd.	SPARC
Sun Pharmaceutical Industries Ltd.	SUNPHARMA
Sun Polytron Industries Ltd.	KESWANISYNBE
Sun TV Network Ltd.	SUNTV
Sundaram Brake Lining Ltd.	SUNDRMBRAK
Sundaram Clayton Ltd.	SUNCLAYLTD
Sundaram Finance Ltd.	SUNDARMFIN
Sundaram Multi Pap Ltd.	SUNDARAM
Sundram Fasteners Ltd.	SUNDRMFAST
Sunflag Iron & Steel Company Ltd.	SUNFLAG
Sunil Hitech Engineers Ltd.	SUNILHITEC
Sunteck Realty Ltd.	SUNTECK
Super Sales India Ltd.	SUPER
Super Spinning Mills Ltd.	SUPERSPINBE
Suprajit Engineering Ltd.	SUPRAJIT
Supreme Industries Ltd.	SUPREMEIND
Supreme Infrastructure India Ltd.	SUPREMEINF
Supreme Petrochem Ltd.	SUPPETRO
Supreme Tex Mart Ltd.	SUPREMETEXBE
Surana Corporation Ltd.	SURANACORP
Surana Industries Ltd.	SURANAIND
Surana Telecom and Power Ltd.	SURANATandP
Surana Ventures Ltd.	SURANAVEL
Surya Pharmaceuticals Ltd.	SURYAPHARMBE
Surya Roshni Ltd.	SURYAROSNI
Suryajyoti Spinning Mills Ltd.	SURYAJYOTI
Suryalakshmi Cotton Mills Ltd.	SURYALAXMI
Suryavanshi Spinning Mills Ltd.	SURYVANSPGBE
Sutlej Textiles & Industries Ltd.	SUTLEJTEX
Suvarna Aquarfarm & Exports Ltd.	SUVARNAQUABE
Suven Life Sciences Ltd.	SUVEN
Suzlon Energy Ltd.	SUZLON
Svadeshi Mills Company Ltd.	SVADMILLSBE
SVC Superchem Ltd.	ATVPETROBE
Swan Energy Ltd.	SWANENERGY
Swaraj Engines Ltd.	SWARAJENG
Swelect Energy Systems Ltd.	SWELECTES
Symphony Ltd.	SYMPHONY
Syncom Healthcare Ltd.	SYNCOM
Syndicate Bank	SYNDIBANK
Synthetics & Chemicals Ltd.	SYNTHCHEMBE
T T Ltd.	TTLBE
Tainwala Chemicals & Plastics (India) Ltd.	TAINWALCHM
Taj GVK Hotels & Resorts Ltd.	TAJGVK
Take Solutions Ltd.	TAKE
Taksheel Solutions Ltd.	TAKSHEEL
Talbros Automotive Components Ltd.	TALBROAUTO
Talwalkars Better Value Fitness Ltd.	TALWALKARS
Tamil Nadu Newsprint And Papers Ltd.	TNPL
Tamil Nadu Telecommunications Ltd.	TNTELEBE
Tamilnadu Petroproducts Ltd.	TNPETRO
Taneja Aerospace & Aviation Ltd.	TANEJAEROBE
Tanfac Industries Ltd.	TANFACIND
Tanla Solutions Ltd.	TANLA
Tantia Constructions Ltd.	TANTIACONS
Tarapur Transformers Ltd.	TARAPUR
Tarmat Ltd.	TARMATBE
Tata Chemicals Ltd.	TATACHEM
Tata Coffee Ltd.	TATACOFFEE
Company	Code
Tata Communications Ltd.	TATACOMM
Tata Consultancy Services Ltd.	TCS
Tata Elxsi Ltd.	TATAELXSI
Tata Global Beverages Ltd.	TATAGLOBAL
Tata Investment Corporation Ltd.	TATAINVEST
Tata Metaliks Ltd.	TATAMETALI
Tata Motors Ltd.	TATAMOTORS
Tata Power Company Ltd.	TATAPOWER
Tata Sponge Iron Ltd.	TATASPONGE
Tata Steel Ltd.	TATASTEEL
Tata Teleservices (Maharashtra) Ltd.	TTML
Tayo Rolls Ltd.	TATAYODOGA
TCI Developers Ltd.	TCIDEVELOP
TCI Finance Ltd.	TCIFINANCE
TCP Ltd.	TCPLTDBE
TD Power Systems Ltd.	TDPOWERSYS
Tech Mahindra Ltd.	TECHM
Techno Electric & Engineering Company Ltd.	TECHNO
